customer_id,channel,send_time,message,reasoning,chat_log,issue_status,confidence_score,chat_length,high_priority
105836,scheduling_phone_call,2025-06-30T16:43:16.463271Z,We understand your concern about technical issue. Let’s resolve this quickly over a call.,ML model used sentiment 'neutral' and issue 'technical issue' to choose scheduling_phone_call.,"Customer: @VirginTrains see attached error message. I've tried leaving a voicemail several times in the past week https://t.co/NxVZjlYx1k
Support_agent: @105836 Have you tried from another device, Miriam ^MM",pending customer reply,0.38,17,False
105845,twitter_dm_reply,2025-06-30T16:43:16.743599Z,We’re on it! Please DM us more details about your other.,ML model used sentiment 'neutral' and issue 'other' to choose twitter_dm_reply.,"Customer: My internet is down and xfinity talkin about 24-72 hours... y’all have the game messed up. 

@77245
Support_agent: @105845 I understand this is a frustrating experience, please send a DM with your account information so I can look into this matter for you. -AD",pending customer reply,0.83,17,False
105852,scheduling_phone_call,2025-06-30T16:43:16.977138Z,We understand your concern about technical issue. Let’s resolve this quickly over a call.,ML model used sentiment 'negative' and issue 'technical issue' to choose scheduling_phone_call.,"Customer: @76099 @AppleSupport fix this update. It’s horrible
Support_agent: @105852 Are you experiencing an issue with your device? If so, DM us with what's going on. We'll see how we can help from there. https://t.co/GDrqU22YpT",escalated,0.69,7,False
105843,twitter_dm_reply,2025-06-30T16:45:16.638528Z,We’re on it! Please DM us more details about your other.,ML model used sentiment 'neutral' and issue 'other' to choose twitter_dm_reply.,"Customer: Okay @76099 I used my fucking phone for 2 minutes and it drains it down 8 fucking percent
Support_agent: @105843 Battery life is important, and we're here for you. DM us the iOS version your iPhone is running. We'll go from there. https://t.co/GDrqU22YpT",pending customer reply,0.86,18,False
82476,scheduling_phone_call,2025-06-30T16:48:16.705533Z,We understand your concern about other. Let’s resolve this quickly over a call.,ML model used sentiment 'neutral' and issue 'other' to choose scheduling_phone_call.,"Customer: @O2 I received this a few weeks ago, since then I've been getting 2/3 calls a day from a telemarketer. Is someone using your name? https://t.co/GLtz4XHcex
Support_agent: @82476 🤔 We'd like to help Sam, which number is calling you? Please DM us more info so we can advise further. https://t.co/5pyLDJBC6r",pending customer reply,0.38,26,False
105676,scheduling_phone_call,2025-06-30T16:48:16.772166Z,We understand your concern about refund. Let’s resolve this quickly over a call.,ML model used sentiment 'neutral' and issue 'refund' to choose scheduling_phone_call.,"Customer: @76803  I service last 40 min sprint can I get a refund https://t.co/wYPw9hP6wt
Support_agent: @105676 I understand how you frustrated this situation can be. Please follow us by sending a DM for further assistance. Sprint Cares. -AC",pending customer reply,0.43,13,False
105857,email_reply,2025-06-30T16:48:17.083086Z,Thank you for reaching out regarding technical issue. We've sent you an email.,ML model used sentiment 'positive' and issue 'technical issue' to choose email_reply.,"Customer: @AppleSupport I have the latest version iOS. It started immediately after I updated my phone.
Support_agent: @105857 Is there a particular app that seems to cause these issues more than others? What model iPhone are you using? Join us in DM. https://t.co/GDrqU22YpT",resolved,0.82,15,False
105858,scheduling_phone_call,2025-06-30T16:48:17.109995Z,We understand your concern about other. Let’s resolve this quickly over a call.,ML model used sentiment 'neutral' and issue 'other' to choose scheduling_phone_call.,"Customer: @HPSupport Problem with printhead  Serial# TH536D1HN #hpcswus #hpprnt
Support_agent: @105858 Hi Agoura, thanks for tweeting. Please refer to this article: https://t.co/BSsgjZARTc &amp; click the link to reply back. ^Rashmi https://t.co/a2xkfCrUG1",pending customer reply,0.37,8,False
105840,twitter_dm_reply,2025-06-30T16:49:16.548611Z,We’re on it! Please DM us more details about your other.,ML model used sentiment 'neutral' and issue 'other' to choose twitter_dm_reply.,"Customer: @SpotifyCares No, but I've moved speaker to about 1 metre away and it's not skipping at the mo - it was about 3 or 4 metres away before. Fingers crossed!
Support_agent: @105840 That's great to hear. If anything comes up, just let us know. We'll carry on helping out 🙂 /AY",pending customer reply,0.47,30,False
105856,scheduling_phone_call,2025-06-30T16:49:17.058017Z,We understand your concern about technical issue. Let’s resolve this quickly over a call.,ML model used sentiment 'neutral' and issue 'technical issue' to choose scheduling_phone_call.,"Customer: @Tesco Will I lose all the shopping I've done if I delete the cache/cookies (not using app)?
Support_agent: @105856 Hi there, as long as you sign out of your account prior to deleting your cache &amp; cookies, you'll still have a full basket :) Thanks - Mike",pending customer reply,0.38,17,False
105849,twitter_dm_reply,2025-06-30T16:50:16.907081Z,We’re on it! Please DM us more details about your other.,ML model used sentiment 'neutral' and issue 'other' to choose twitter_dm_reply.,"Customer: Took my phone off charge at 7:20am.

8:03am - 60% battery remaining.

@76099 plz I beg you, sort your battery life out😩
Support_agent: @105849 Thanks for reaching out to us. We are always happy to help. Send us a DM so we can look into this together. https://t.co/GDrqU22YpT",pending customer reply,0.35,22,False
105846,scheduling_phone_call,2025-06-30T16:51:16.800452Z,We understand your concern about technical issue. Let’s resolve this quickly over a call.,ML model used sentiment 'neutral' and issue 'technical issue' to choose scheduling_phone_call.,"Customer: So the new @76099 update does not let me listen to music and go on whatsapp at the same time?!?
Support_agent: @105846 We'd like to help. What happens when you try to listen to Apple Music &amp; use WhatsApp? Does the music pause? Let us know in DM. https://t.co/GDrqU22YpT",pending customer reply,0.4,20,False
105851,email_reply,2025-06-30T16:54:16.945952Z,Thank you for reaching out regarding technical issue. We've sent you an email.,ML model used sentiment 'positive' and issue 'technical issue' to choose email_reply.,"Customer: @AppleSupport I need a new code for my I-store. I haven’t recd any but msg is too many sent. Help!
Support_agent: @105851 We'd like to provide some assistance with this. Tell us more about the issue you're experiencing in DM. We'll go from there. https://t.co/GDrqU22YpT",resolved,0.65,20,False
105841,email_reply,2025-06-30T16:55:16.580076Z,Thank you for reaching out regarding technical issue. We've sent you an email.,ML model used sentiment 'neutral' and issue 'technical issue' to choose email_reply.,"Customer: @AppleSupport after the 11.0.2 my phone just sucks most of the apps are broken, wifi disconnects frequently #apple #ios1102 #painfulupdate
Support_agent: @105841 We'd love to help! Please DM us and let us know any steps you've tried since experiencing these behaviors. https://t.co/GDrqU22YpT",pending customer reply,0.45,20,False
105854,email_reply,2025-06-30T16:55:17.005426Z,Thank you for reaching out regarding other. We've sent you an email.,ML model used sentiment 'positive' and issue 'other' to choose email_reply.,"Customer: @76501 I guess this means free cable for the neighborhood. https://t.co/FBgEE9YXPm
Support_agent: @105854 I am sorry for the poor experience. Can you please DM the full service address and name on the account, as we ass... https://t.co/JEZhqGdBMd",resolved,0.77,11,False
105842,twitter_dm_reply,2025-06-30T16:58:16.605598Z,We’re on it! Please DM us more details about your other.,ML model used sentiment 'neutral' and issue 'other' to choose twitter_dm_reply.,"Customer: First flight for long time with @British_Airways. Now over one 1h delay for the short jump FRA-LCY and NO one here to provide status updates
Support_agent: @105842 We're sorry your flight has been delayed, Beatner. Are you travelling on the BA8733? If so, the updated departure time we have is 15:30. 1/2",pending customer reply,0.72,25,False
105855,twitter_dm_reply,2025-06-30T16:59:17.032685Z,We’re on it! Please DM us more details about your other.,ML model used sentiment 'neutral' and issue 'other' to choose twitter_dm_reply.,"Customer: @Tesco The point is if it's enforced they do it properly or they don't. Plus take some common-sense and think does that person look over 18?
Support_agent: @105855 Hi Thomas, if a colleague believes the person buying alcohol looks under 25, they will be challenged for ID to prove they're of age. - Paige",pending customer reply,0.83,26,False
105847,scheduling_phone_call,2025-06-30T17:01:16.840177Z,We understand your concern about technical issue. Let’s resolve this quickly over a call.,ML model used sentiment 'neutral' and issue 'technical issue' to choose scheduling_phone_call.,"Customer: @SpotifyCares seems to be working at this stage. Will let you know if it happens again. Cheers
Support_agent: @105847 Sure thing. We'll keep an eye out for your update /MU",pending customer reply,0.53,17,False
105848,twitter_dm_reply,2025-06-30T17:01:16.876149Z,We’re on it! Please DM us more details about your technical issue.,ML model used sentiment 'neutral' and issue 'technical issue' to choose twitter_dm_reply.,"Customer: @AppleSupport #ios11update - is still killing my battery within 12 hours - phone is 10 months old - it’s a disgrace - used to get 2 days
Support_agent: @105848 Let's take a look. What is the exact iOS you're using? Are you using any specific apps when noticing this? DM us your reply. https://t.co/GDrqU22YpT",pending customer reply,0.37,27,False
105859,email_reply,2025-06-30T17:01:17.138415Z,Thank you for reaching out regarding other. We've sent you an email.,ML model used sentiment 'neutral' and issue 'other' to choose email_reply.,"Customer: @105860 I wish Amazon had an option of where I can just get it shipped to the ups store so I can avoid a lot of the struggle
Support_agent: @105859 UPS has a service called My Choice that will allow your packages to be delivered to UPS Store. ^ML  https://t.co/BPZKndqww1 https://t.co/wKJHDXWGRQ",pending customer reply,0.34,28,False
105839,scheduling_phone_call,2025-06-30T17:02:16.512825Z,We understand your concern about other. Let’s resolve this quickly over a call.,ML model used sentiment 'negative' and issue 'other' to choose scheduling_phone_call.,"Customer: I just updated my phone and suddenly everything takes ages to load wtf @76099 this update sux I hate it fix it bye
Support_agent: @105839 Thanks for reaching out to us. We are always happy to help. Send us a DM so we can look into this together. https://t.co/GDrqU22YpT",escalated,0.78,23,False
105837,scheduling_phone_call,2025-06-30T17:03:16.488061Z,We understand your concern about technical issue. Let’s resolve this quickly over a call.,ML model used sentiment 'neutral' and issue 'technical issue' to choose scheduling_phone_call.,"Customer: @105838 @AppleSupport Me too am suffering , hope the can find a solution
Support_agent: @105837 We can help. Which version of iOS are you on? You can find that in Settings &gt; General &gt; About. Reply in DM. https://t.co/GDrqU22YpT",pending customer reply,0.39,13,False
105835,email_reply,2025-06-30T17:04:16.438054Z,Thank you for reaching out regarding other. We've sent you an email.,ML model used sentiment 'positive' and issue 'other' to choose email_reply.,"Customer: @76328 I really hope you all change but I'm sure you won't! Because you don't have to!
Support_agent: @105835 Your business means a lot to us. Please DM your name, zip code and additional details about your concern. ^RR https://t.co/znUu1VJn9r",resolved,0.72,17,False
105844,email_reply,2025-06-30T17:05:16.673637Z,Thank you for reaching out regarding technical issue. We've sent you an email.,ML model used sentiment 'neutral' and issue 'technical issue' to choose email_reply.,"Customer: @AppleSupport Can you get my iPhone 7plus back on the old iOS please?  Battery runs out in half the time, apps now frequently crash.
Support_agent: @105844 Thanks for reaching out to us. We are always happy to help. Send us a DM so we can look into this together. https://t.co/GDrqU22YpT",pending customer reply,0.44,24,False
105861,twitter_dm_reply,2025-06-30T17:06:17.164225Z,We’re on it! Please DM us more details about your other.,ML model used sentiment 'neutral' and issue 'other' to choose twitter_dm_reply.,"Customer: @Tesco bit of both - finding the layout cumbersome and when removing an item from faves - getting a huge slowdown. Not keen on the thin green line https://t.co/9281OKEebk
Support_agent: @105861 If that doesn't help please DM your full name, address and email including the browser and device so we can log this. Thanks - Lee 2/2",pending customer reply,0.42,29,False
